Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Dinko Horkaš-U. D. Las Palmas;Viti Rozada-U. D. Las Palmas;Álex Suárez-U. D. Las Palmas;Scott McKenna-U. D. Las Palmas;Mika Mármol-U. D. Las Palmas;Javi Muñoz Jiménez-U. D. Las Palmas;Dário Essugo-U. D. Las Palmas;Stefan Bajčetić-U. D. Las Palmas;Alberto Moleiro-U. D. Las Palmas;Oliver McBurnie-U. D. Las Palmas;Fábio Silva-U. D. Las Palmas;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Sandro Ramírez-U. D. Las Palmas;Juanma Herzog-U. D. Las Palmas;Jasper Cillessen-U. D. Las Palmas;José Gómez Campaña-U. D. Las Palmas;Álex Muñoz-U. D. Las Palmas;Enzo Loiodice-U. D. Las Palmas;Manu Fuster-U. D. Las Palmas;Andy Pelmard-U. D. Las Palmas;Kirian Rodríguez-U. D. Las Palmas;Marvin Park-U. D. Las Palmas;Adnan Januzaj-U. D. Las Palmas;Jaime Mata-U. D. Las Palmas;Benito Ramírez del Toro-U. D. Las Palmas;Fabio González-U. D. Las Palmas;Iván Gil Calero-U. D. Las Palmas;Marc Cardona-U. D. Las Palmas;Valentín Pezzolesi-U. D. Las Palmas;Pejiño-U. D. Las Palmas;Daley Sinkgraven-U. D. Las Palmas;Álvaro Valles-U. D. Las Palmas;Álvaro Lemos-U. D. Las Palmas;Saúl Coco-U. D. Las Palmas;Munir El Haddadi-U. D. Las Palmas;Julián Araujo-U. D. Las Palmas;Sergi Cardona-U. D. Las Palmas;Sory Kaba-U. D. Las Palmas;Máximo Perrone-U. D. Las Palmas;Aarón Escandell-U. D. Las Palmas;Aboubacar Bassinga-U. D. Las Palmas;Omenuke Mfulu-U. D. Las Palmas;Cristian Herrera-U. D. Las Palmas;Éric Curbelo-U. D. Las Palmas;Gustavo Yadam Santana Hernández-U. D. Las Palmas;Jonathan Viera-U. D. Las Palmas;Álvaro Jiménez-U. D. Las Palmas;Enrique Clemente Maza-U. D. Las Palmas;Sidnei Rechel da Silva Junior-U. D. Las Palmas;Loren Morón-U. D. Las Palmas;Wilfrid Kaptoum-U. D. Las Palmas;Florin Andone-U. D. Las Palmas;Óscar Clemente-U. D. Las Palmas;Álex Domínguez-U. D. Las Palmas;Joel del Pino-U. D. Las Palmas;Joaquín Felipe González Rodríguez-U. D. Las Palmas;Saliou Mandiang-U. D. Las Palmas
2025-04-19;U. D. Las Palmas;1;1;1;50;27;Atlético Madrid;3;1;8;7;2;2;0.41;0.59;379;0.79;13;13;3;1;0;0;4;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.08428571428571428;0.23076923076923078;299;0.043478260869565216;729.2682926829269;0.5;9.75609756097561;1;-0.18;0;2;0;0.021108179419525065;0.125;0.41;4.0;0;1;1;1;0;0;0;1;0.125;0.5;0.002638522427440633;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-12;U. D. Las Palmas;1;1;1;50;48;Getafe;2;1;10;11;5;6;0.59;0.41;430;0.81;15;14;2;0;0;1;2;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;3;0.03727272727272727;0.13333333333333333;348;0.04310344827586207;589.8305084745763;0.2;3.3898305084745766;-1;0.18;-1;1;1;0.023255813953488372;0.3;0.19666666666666666;0.6666666666666666;0;3;3;1;0;0;1;0;0.3;0.6;0.0069767441860465115;3.3333333333333335;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-06;U. D. Las Palmas;1;1;7;50;46;Real Sociedad;0;2;13;13;5;8;0.52;0.48;387;0.77;8;10;0;2;0;0;5;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;4;0.03692307692307692;0.0;298;0.026845637583892617;573.0769230769231;0.38461538461538464;9.615384615384615;0;0.040000000000000036;1;-2;-2;0.03359173126614987;0.07692307692307693;0.52;5.0;0;1;1;0;0;1;0;1;0.07692307692307693;0.2;0.002583979328165375;13.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-31;U. D. Las Palmas;1;4;6;50;44;Celta de Vigo;0;3;4;20;2;7;0.39;0.61;412;0.78;5;17;0;3;0;0;2;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;4;0.0305;0.0;321;0.01557632398753894;823.0769230769231;0.5;5.128205128205128;-16;-0.21999999999999997;-2;-3;-12;0.009708737864077669;0.25;0.39;2.0;0;1;1;0;1;0;1;0;0.25;0.5;0.0024271844660194173;4.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-14;U. D. Las Palmas;1;3;1;50;45;Alavés;5;4;14;9;7;3;0.62;0.38;438;0.79;10;22;5;4;0;0;4;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;5;0.042222222222222223;0.5;346;0.028901734104046242;558.0645161290323;0.2857142857142857;6.451612903225807;5;0.24;-1;1;-12;0.0319634703196347;0.14285714285714285;0.31;2.0;0;2;2;0;1;0;0;1;0.14285714285714285;0.2857142857142857;0.0045662100456621;7.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;U. D. Las Palmas;1;9;3;50;39;Betis;7;2;8;14;1;6;0.33;0.67;285;0.74;14;12;6;2;1;0;1;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;11;0.04785714285714286;0.5;211;0.06635071090047394;639.3939393939394;0.125;3.0303030303030303;-6;-0.34;-10;5;2;0.028070175438596492;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-28;U. D. Las Palmas;1;3;3;50;51;Valladolid;2;2;4;23;3;7;0.35;0.65;303;0.72;8;11;1;2;1;0;4;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;13;0.02826086956521739;0.25;218;0.03669724770642202;622.8571428571429;1.0;11.428571428571429;-19;-0.30000000000000004;-9;0;-3;0.013201320132013201;0.25;0.35;4.0;1;0;1;0;1;0;1;0;0.25;0.3333333333333333;0.0033003300330033004;4.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-22;U. D. Las Palmas;1;3;3;50;10;Barcelona;1;1;10;15;2;5;0.29;0.71;267;0.68;13;4;1;1;0;0;5;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;3;0.04733333333333333;0.07692307692307693;182;0.07142857142857142;627.5862068965517;0.5;17.24137931034483;-5;-0.42;2;0;9;0.03745318352059925;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-16;U. D. Las Palmas;1;3;3;50;40;R.C.D. Mallorca;4;1;9;14;4;5;0.52;0.48;429;0.81;13;7;4;1;0;0;5;0.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;3;0.03428571428571429;0.3076923076923077;347;0.037463976945244955;667.3076923076923;0.5555555555555556;9.615384615384615;-5;0.040000000000000036;2;3;6;0.02097902097902098;0.1111111111111111;0.52;5.0;0;1;1;0;0;1;1;0;0.1111111111111111;0.25;0.002331002331002331;9.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-08;U. D. Las Palmas;1;3;1;50;37;Villarreal;6;3;20;9;4;4;0.58;0.42;471;0.82;12;12;6;3;0;0;6;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;5;0.04666666666666666;0.5;386;0.031088082901554404;665.5172413793103;0.3;10.344827586206897;11;0.15999999999999998;1;3;0;0.04246284501061571;0.05;0.58;6.0;0;1;1;0;0;1;0;1;0.05;0.25;0.0021231422505307855;20.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
