Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;David de Gea-Fiorentina;Marin Pongračić-Fiorentina;Pietro Comuzzo-Fiorentina;Luca Ranieri-Fiorentina;Michael Folorunsho-Fiorentina;Rolando Mandragora-Fiorentina;Danilo Cataldi-Fiorentina;Nicolò Fagioli-Fiorentina;Fabiano Parisi-Fiorentina;Moise Kean-Fiorentina;Albert Guðmundsson-Fiorentina;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Pablo Marí Villar-Fiorentina;Domilson Cordeiro dos Santos-Fiorentina;Matías Agustín Moreno-Fiorentina;Yacine Adli-Fiorentina;Lucas Beltrán-Fiorentina;Nicolò Zaniolo-Fiorentina;Robin Gosens-Fiorentina;Cher Ndour-Fiorentina;Pietro Terracciano-Fiorentina;Amir Richardson-Fiorentina;Andrea Colpani-Fiorentina;Edoardo Bove-Fiorentina;Riccardo Sottil-Fiorentina;Michael Kayode-Fiorentina;Lucas Martínez Quarta-Fiorentina;Jonathan Ikoné-Fiorentina;Christian Kouamé-Fiorentina;Tommaso Martinelli-Fiorentina;Cristiano Biraghi-Fiorentina;Sofyan Amrabat-Fiorentina;Antonín Barák-Fiorentina;Alessandro Bianco-Fiorentina;Maxime Lopez-Fiorentina;Alfred Duncan-Fiorentina;Nicolás González-Fiorentina;Gaetano Castrovilli-Fiorentina;Andrea Belotti-Fiorentina;Nikola Milenković-Fiorentina;Arthur Melo-Fiorentina;Giacomo Bonaventura-Fiorentina;M'Bala Nzola-Fiorentina;Oliver Christensen-Fiorentina;Marco Faraoni-Fiorentina;Josip Brekalo-Fiorentina;Yerry Mina-Fiorentina;Niccolò Pierozzi-Fiorentina;Luka Jović-Fiorentina;Michele Cerofolini-Fiorentina;Aleksa Terzić-Fiorentina;Arthur Cabral-Fiorentina;Lorenzo Venuti-Fiorentina;Igor Julio-Fiorentina;Riccardo Saponara-Fiorentina
2025-04-17;Fiorentina;21;2;29;70;146;Celje;2;1;10;12;5;4;0.36;0.64;293;0.82;17;10;2;1;0;0;6;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.05333333333333334;0.11764705882352941;240;0.07083333333333333;666.6666666666667;0.6;16.666666666666668;-2;-0.28;2;1;7;0.034129692832764506;0.2;0.18;3.0;1;1;2;0;1;0;0;1;0.2;0.4;0.006825938566552901;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Fiorentina;4;23;2;70;76;Parma;0;5;9;7;3;3;0.58;0.42;521;0.86;10;19;0;5;0;0;2;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;2;0.06;0.0;448;0.022321428571428572;772.4137931034484;0.2222222222222222;3.4482758620689657;2;0.15999999999999998;0;-5;-9;0.01727447216890595;0.0;0.0;0.0;0;0;0;0;1;0;0;1;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-10;Fiorentina;21;2;17;70;146;Celje;5;1;10;12;2;4;0.46;0.54;376;0.85;17;13;5;1;0;0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4;0.045000000000000005;0.29411764705882354;320;0.053125;695.6521739130435;0.1;2.1739130434782608;-2;-0.08000000000000002;-3;4;4;0.026595744680851064;0.2;0.23;0.5;1;1;2;1;0;0;1;0;0.2;1.0;0.005319148936170213;5.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Fiorentina;4;2;3;70;25;Milan;3;4;15;19;8;6;0.47;0.53;372;0.87;12;12;3;4;0;0;4;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;7;0.027894736842105264;0.25;324;0.037037037037037035;689.3617021276597;0.26666666666666666;8.51063829787234;-4;-0.06000000000000005;-3;-1;0;0.04032258064516129;0.13333333333333333;0.235;2.0;2;0;2;0;1;0;1;0;0.13333333333333333;0.25;0.005376344086021506;7.5;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;Fiorentina;4;2;29;70;17;Atalanta;0;3;12;9;4;0;0.45;0.55;392;0.78;7;16;0;3;0;0;2;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;4;0.061111111111111116;0.0;306;0.02287581699346405;680.0;0.16666666666666666;4.444444444444445;3;-0.10000000000000003;-2;-3;-9;0.030612244897959183;0.08333333333333333;0.45;2.0;1;0;1;1;0;0;0;1;0.08333333333333333;0.25;0.002551020408163265;12.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Fiorentina;4;23;3;70;14;Juventus;2;3;9;11;3;2;0.36;0.64;348;0.8;9;13;2;3;0;0;1;1.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;6;0.05818181818181818;0.2222222222222222;278;0.03237410071942446;772.2222222222223;0.1111111111111111;2.7777777777777777;-2;-0.28;-5;-1;-4;0.02586206896551724;0.3333333333333333;0.12;0.3333333333333333;2;1;3;1;0;0;0;1;0.3333333333333333;1.0;0.008620689655172414;3.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-13;Fiorentina;21;23;0;70;161;Panathinaikos;4;4;16;18;9;2;0.51;0.49;381;0.83;26;19;4;3;0;1;5;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;5;0.02722222222222222;0.15384615384615385;316;0.08227848101265822;619.6078431372549;0.3125;9.803921568627452;-2;0.020000000000000018;0;0;7;0.04199475065616798;0.1875;0.17;1.6666666666666667;2;1;3;1;0;0;0;1;0.1875;0.3333333333333333;0.007874015748031496;5.333333333333333;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Fiorentina;4;23;2;70;69;Napoli;2;1;7;19;2;11;0.52;0.48;513;0.83;5;10;2;1;0;0;4;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;4;0.02526315789473684;0.4;426;0.011737089201877934;819.2307692307692;0.5714285714285714;7.692307692307692;-12;0.040000000000000036;0;1;-5;0.01364522417153996;0.14285714285714285;0.52;4.0;0;1;1;0;0;1;1;0;0.14285714285714285;0.5;0.001949317738791423;7.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-06;Fiorentina;21;23;6;70;161;Panathinaikos;2;1;14;12;5;6;0.48;0.52;383;0.81;12;9;2;1;0;0;6;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;4;0.043333333333333335;0.16666666666666666;310;0.03870967741935484;645.8333333333334;0.42857142857142855;12.5;2;-0.040000000000000036;2;1;3;0.03655352480417755;0.14285714285714285;0.24;3.0;2;0;2;0;0;1;1;0;0.14285714285714285;0.4;0.005221932114882507;7.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-28;Fiorentina;4;2;3;70;82;Lecce;3;2;10;8;3;3;0.47;0.53;411;0.77;10;12;3;2;0;0;5;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;2;0.06625;0.3;316;0.03164556962025317;672.3404255319149;0.5;10.638297872340425;2;-0.06000000000000005;3;1;-2;0.024330900243309004;0.1;0.47;5.0;1;0;1;1;0;0;0;1;0.1;0.3333333333333333;0.0024330900243309003;10.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
