Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Paulo Gazzaniga-Girona;Alejandro Francés-Girona;Ladislav Krejčí-Girona;Daley Blind-Girona;Miguel Gutiérrez Ortega-Girona;Iván Martín Núñez-Girona;Arthur Melo-Girona;Viktor Tsygankov-Girona;Yangel Herrera-Girona;Arnaut Danjuma-Girona;Yáser Asprilla-Girona;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Arnau Martínez-Girona;David López Silva-Girona;Oriol Romeu-Girona;Abel Ruiz-Girona;Donny van de Beek-Girona;Bojan Miovski-Girona;Bryan Gil-Girona;Juanpe Ramírez-Girona;Pau López-Girona;Antal Yaakobishvili-Girona;Jhon Elmer Solís-Girona;Selvi Clua-Girona;Cristian Portugués-Girona;Kim Min-su-Girona;Christian Stuani-Girona;Juan Carlos Martín Corral-Girona;Gabriel Misehouy-Girona;Toni Villa-Girona;Eric García-Girona;Aleix García Serrano-Girona;Artem Dovbyk-Girona;Savinho-Girona;Yan Couto-Girona;Pablo Torre-Girona;Valery Fernández Estrada-Girona;Toni Fuidias-Girona;Bernardo Espinosa-Girona;Iker Almena-Girona;Ibrahima Kebe-Girona;Rodrigo Riquelme Reche-Girona;Valentín Mariano Castellanos-Girona;Reinier Jesus-Girona;Santiago Bueno-Girona;Javier Hernández Carrera-Girona;Borja García Freire-Girona;Ramón Terrats Espacio-Girona
2025-05-05;Girona;1;0;9;24;40;R.C.D. Mallorca;0;2;13;9;6;1;0.47;0.53;454;0.84;11;14;0;2;0;0;5;1.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;2;0.05888888888888889;0.0;381;0.028871391076115485;810.6382978723404;0.38461538461538464;10.638297872340425;4;-0.06000000000000005;3;-2;-3;0.028634361233480177;0.07692307692307693;0.47;5.0;1;0;1;1;0;0;0;1;0.07692307692307693;0.16666666666666666;0.0022026431718061676;13.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-24;Girona;1;6;9;24;47;Leganés;2;5;8;7;3;1;0.68;0.32;543;0.88;18;16;2;4;0;1;5;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;4;0.045714285714285714;0.1111111111111111;478;0.03765690376569038;702.9411764705882;0.625;7.352941176470588;1;0.36000000000000004;1;-3;2;0.014732965009208104;0.125;0.68;5.0;0;1;1;0;1;0;1;0;0.125;0.3333333333333333;0.001841620626151013;8.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-21;Girona;1;3;3;24;39;Betis;3;2;11;17;5;9;0.61;0.39;500;0.88;13;11;3;2;0;0;8;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;9;0.0229411764705882;0.2307692307692307;440;0.0295454545454545;721.3114754098361;0.7272727272727273;13.114754098360656;-6;0.2199999999999999;-1;1;2;0.022;0.0909090909090909;0.61;8.0;0;1;1;0;0;1;0;1;0.0909090909090909;0.2;0.002;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Girona;1;3;4;24;41;Osasuna;1;2;18;13;8;6;0.69;0.31;572;0.89;15;17;1;2;0;0;4;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;4;0.0238461538461538;0.0666666666666666;509;0.0294695481335952;737.6811594202899;0.2222222222222222;5.797101449275363;5;0.3799999999999999;0;-1;-2;0.0314685314685314;0.0555555555555555;0.69;4.0;0;1;1;0;0;1;1;0;0.0555555555555555;0.125;0.0017482517482517;18.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-05;Girona;1;3;3;24;45;Alavés;1;5;16;9;1;4;0.64;0.36;478;0.88;8;25;1;5;0;0;5;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;3;0.04;0.125;421;0.0190023752969121;657.8125;0.3125;7.8125;7;0.28;2;-4;-17;0.0334728033472803;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-30;Girona;1;1;3;24;10;Barcelona;1;0;4;21;2;9;0.3;0.7;278;0.74;11;8;1;0;0;0;2;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;10;0.0333333333333333;0.0909090909090909;206;0.0533980582524271;686.6666666666667;0.5;6.666666666666667;-17;-0.3999999999999999;-8;1;3;0.014388489208633;0.25;0.3;2.0;0;1;1;0;0;1;1;0;0.25;0.5;0.0035971223021582;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-15;Girona;1;3;9;24;52;Valencia C. F.;2;1;14;12;4;2;0.57;0.43;515;0.85;12;5;2;1;0;0;9;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;4;0.0358333333333333;0.1666666666666666;438;0.0273972602739726;768.421052631579;0.6428571428571429;15.789473684210527;2;0.1399999999999999;5;1;7;0.0271844660194174;0.0714285714285714;0.57;9.0;0;1;1;0;1;0;0;1;0.0714285714285714;0.25;0.0019417475728155;14.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-10;Girona;1;0;20;24;49;RCD Espanyol;3;3;18;7;4;4;0.67;0.33;578;0.9;13;11;3;3;0;0;9;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;4;0.0471428571428571;0.2307692307692307;520;0.025;776.1194029850745;0.5;13.43283582089552;11;0.34;5;0;2;0.0311418685121107;0.0555555555555555;0.67;9.0;0;1;1;0;1;0;1;0;0.0555555555555555;0.25;0.0017301038062283;18.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Girona;1;17;17;24;44;Celta de Vigo;0;0;9;10;6;6;0.51;0.49;474;0.87;8;17;0;0;0;0;4;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;2;0.049;0.0;412;0.0194174757281553;807.843137254902;0.4444444444444444;7.84313725490196;-1;0.02;2;0;-9;0.0189873417721519;0.2222222222222222;0.255;2.0;1;1;2;0;1;0;0;1;0.2222222222222222;0.3333333333333333;0.0042194092827004;4.5;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-23;Girona;1;29;13;24;12;Real Madrid;2;0;6;22;2;5;0.36;0.64;385;0.9;7;1;2;0;0;0;5;1.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;11;0.029090909090909;0.2857142857142857;346;0.0202312138728323;961.1111111111112;0.8333333333333334;13.88888888888889;-16;-0.28;-6;2;6;0.0155844155844155;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
