Fecha;Equipo_name;Torneo;Alineacion;Alineacion_contrincante;equipo;equipo_contrincante;equipo_contrincante_name;tarjetas;tarjetas_contrincante;Remates;Remates_contrincante;Remates al arco;Remates al arco_contrincante;Posesión;Posesión_contrincante;Pases;Precisión de los pases;Faltas;Faltas_contrincante;Tarjetas amarillas;Tarjetas amarillas_contrincante;Tarjetas rojas;Tarjetas rojas_contrincante;Tiros de esquina;Augusto Batalla-Rayo Vallecano;Andrei Rațiu-Rayo Vallecano;Florian Lejeune-Rayo Vallecano;Pathé Ciss-Rayo Vallecano;Pep Chavarría-Rayo Vallecano;Óscar Valentín-Rayo Vallecano;Gerard Gumbau-Rayo Vallecano;Jorge de Frutos Sebastián-Rayo Vallecano;Pedro Díaz Fanjul-Rayo Vallecano;Álvaro García Rivera-Rayo Vallecano;Randy Nteka-Rayo Vallecano;Tiros de esquina_concedidos;Posesión_contra_por_remate;tarjetas_por_falta;pases_completados;faltas_por_pases;pases_por_posesion;tirosEsquina_por_remate;tirosEsquina_por_posesion;diff_remates;diff_posesion;diff_Tiros de esquina;diff_tarjetas;diff_faltas;remates_por_pase;posesion_por_remate;posesion_por_gol;tirosEsquina_por_gol;goles_primera_mitad;goles_segunda_mitad;goles_totales;gano;empato;perdio;visitante;local;conversion_goles;conversion_arco;goles_por_pase;remates_al_arco_por_gol;Aridane Hernández-Rayo Vallecano;Luis Alfonso Espino García-Rayo Vallecano;Unai López-Rayo Vallecano;Pelayo Fernández-Rayo Vallecano;Óscar Trejo-Rayo Vallecano;Sergio Guardiola Navarro-Rayo Vallecano;Adrián Embarba-Rayo Vallecano;Abdul Mumin-Rayo Vallecano;Isaac Palazón Camacho-Rayo Vallecano;Sergio Camello-Rayo Vallecano;Dani Cárdenas-Rayo Vallecano;Iván Balliu-Rayo Vallecano;James Rodríguez-Rayo Vallecano;Raúl de Tomás-Rayo Vallecano;Radamel Falcao García-Rayo Vallecano;Stole Dimitrievski-Rayo Vallecano;Miguel Crespo-Rayo Vallecano;Kike Pérez-Rayo Vallecano;Martín Pascual Castillo-Rayo Vallecano;Diego Méndez Molero-Rayo Vallecano;Tiago Manuel Dias Correia-Rayo Vallecano;Alejandro Catena Marugán-Rayo Vallecano;Francisco José García Torres-Rayo Vallecano;Santiago Comesaña Veiga-Rayo Vallecano;Salvi Sánchez-Rayo Vallecano;Andrés Martín García-Rayo Vallecano;Mario Hernández Fernández-Rayo Vallecano;Diego López Rodríguez-Rayo Vallecano;Mario Suárez-Rayo Vallecano;Esteban Saveljich-Rayo Vallecano;Pablo Muñoz Crespo-Rayo Vallecano
2025-04-19;Rayo Vallecano;1;3;1;42;52;Valencia C. F.;3;1;11;10;4;3;0.57;0.43;444;0.83;18;13;3;1;0;0;5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2;0.043;0.16666666666666666;369;0.04878048780487805;647.3684210526317;0.45454545454545453;8.771929824561404;1;0.13999999999999996;3;2;5;0.024774774774774775;0.09090909090909091;0.57;5.0;1;0;1;0;1;0;0;1;0.09090909090909091;0.25;0.0022522522522522522;11.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-13;Rayo Vallecano;1;3;3;42;38;Athletic;3;4;11;13;3;4;0.45;0.55;372;0.76;7;12;3;4;0;0;1;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;7;0.04230769230769231;0.42857142857142855;283;0.024734982332155476;628.8888888888889;0.09090909090909091;2.2222222222222223;-2;-0.10000000000000003;-6;-1;-5;0.02956989247311828;0.09090909090909091;0.45;1.0;1;0;1;0;0;1;1;0;0.09090909090909091;0.3333333333333333;0.002688172043010753;11.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-04-04;Rayo Vallecano;1;3;3;42;49;RCD Espanyol;2;2;16;15;5;7;0.7;0.3;551;0.88;8;10;2;2;0;0;8;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;4;0.02;0.25;485;0.016494845360824743;692.8571428571429;0.5;11.428571428571429;1;0.39999999999999997;4;0;-2;0.029038112522686024;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-29;Rayo Vallecano;1;3;3;42;45;Alavés;5;3;11;12;5;4;0.44;0.56;352;0.68;12;14;5;3;0;0;5;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;8;0.04666666666666667;0.4166666666666667;239;0.0502092050209205;543.1818181818181;0.45454545454545453;11.363636363636363;-1;-0.12000000000000005;-3;2;-2;0.03125;0.18181818181818182;0.22;2.5;1;1;2;1;0;0;1;0;0.18181818181818182;0.4;0.005681818181818182;5.5;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-16;Rayo Vallecano;1;3;7;42;46;Real Sociedad;3;2;10;8;5;4;0.56;0.44;451;0.79;16;9;3;2;0;0;4;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;4;0.055;0.1875;356;0.0449438202247191;635.7142857142857;0.4;7.142857142857142;2;0.12000000000000005;0;1;7;0.022172949002217297;0.2;0.28;2.0;0;2;2;0;1;0;0;1;0.2;0.4;0.004434589800443459;5.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-09;Rayo Vallecano;1;3;1;42;12;Real Madrid;1;3;20;10;6;5;0.55;0.45;544;0.9;17;12;1;3;0;0;6;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;4;0.045;0.058823529411764705;490;0.03469387755102041;890.9090909090909;0.3;10.909090909090908;10;0.10000000000000003;2;-2;5;0.03676470588235294;0.05;0.55;6.0;1;0;1;0;0;1;1;0;0.05;0.16666666666666666;0.001838235294117647;20.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-03-01;Rayo Vallecano;1;3;3;42;43;Sevilla;1;0;20;10;8;5;0.65;0.35;523;0.82;14;9;1;0;0;0;6;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;6;0.034999999999999996;0.07142857142857142;429;0.03263403263403263;660.0;0.3;9.23076923076923;10;0.30000000000000004;0;1;5;0.03824091778202677;0.05;0.65;6.0;0;1;1;0;1;0;0;1;0.05;0.125;0.0019120458891013384;20.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-22;Rayo Vallecano;1;3;1;42;37;Villarreal;2;4;10;10;5;5;0.51;0.49;414;0.81;15;12;1;4;1;0;3;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;5;0.049;0.13333333333333333;335;0.04477611940298507;656.8627450980392;0.3;5.88235294117647;0;0.020000000000000018;-2;-2;3;0.024154589371980676;0.0;0.0;0.0;0;0;0;0;0;1;0;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-17;Rayo Vallecano;1;3;3;42;10;Barcelona;3;2;9;14;4;5;0.4;0.6;354;0.79;9;11;3;2;0;0;5;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;4;0.04285714285714286;0.3333333333333333;280;0.03214285714285714;700.0;0.5555555555555556;12.5;-5;-0.19999999999999996;1;1;-2;0.025423728813559324;0.0;0.0;0.0;0;0;0;0;0;1;1;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025-02-07;Rayo Vallecano;1;3;7;42;51;Valladolid;2;2;20;8;6;3;0.69;0.31;571;0.85;11;15;2;2;0;0;4;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;2;0.03875;0.18181818181818182;485;0.02268041237113402;702.8985507246377;0.2;5.797101449275363;12;0.37999999999999995;2;0;-4;0.03502626970227671;0.05;0.69;4.0;0;1;1;1;0;0;0;1;0.05;0.16666666666666666;0.0017513134851138354;20.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
